,Unnamed: 0,CANT,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO
857,857,5,585.5,0.0,223.92,2927.5,1119.59,361.58
858,858,5,648.0,0.0,249.92,3240.0,1249.59,398.08
859,859,1,1697.71,567.27,567.27,1697.71,567.27,1130.44
860,860,5,821.3,0.0,75.77,4106.5,378.86,745.53
861,861,1,,0.0,193.86,4125.0,193.86,
862,862,1,1369.18,0.0,197.36,1369.18,197.36,1171.82
863,863,2,886.0,55.23,55.23,1772.0,110.46,830.77
864,864,2,695.0,36.8,36.8,1390.0,73.59,658.2
865,865,2,665.0,80.09,80.09,1330.0,160.18,584.91
866,866,1,,0.0,,,1721.28,
867,867,1,600.0,179.31,179.31,600.0,179.31,420.69
868,868,10,1250.0,0.0,514.93,,,735.07
869,869,6,912.0,0.0,301.16,5472.0,1806.93,610.84
870,870,6,1154.0,0.0,750.38,6924.0,,403.62
871,871,6,696.0,0.0,43.88,4176.0,263.28,652.12
872,872,6,888.0,0.0,215.26,5328.0,1291.57,672.74
873,873,10,509.0,0.0,128.74,5090.0,1287.37,380.26
874,874,6,407.0,122.67,122.67,2442.0,736.0,284.33
875,875,16,1939.0,0.0,490.5,,,1448.5
876,876,3,1064.0,0.0,330.66,3192.0,991.99,733.34
877,877,5,485.0,144.4,144.4,2425.0,722.0,340.6
878,878,5,310.0,54.8,54.8,1550.0,274.0,255.2
879,879,7,1252.0,0.0,244.61,8764.0,1712.29,1007.39
880,880,3,720.0,82.15,82.15,2160.0,246.45,637.85
881,881,1,1215.5,335.77,335.77,1215.5,335.77,879.73
882,882,10,185.0,74.45,74.45,1850.0,744.5,110.55
883,883,5,125.0,42.79,42.79,625.0,213.97,82.21
884,884,2,163.0,72.37,72.37,326.0,144.73,90.63
885,885,3,238.0,97.49,97.49,714.0,292.48,140.51
886,886,3,496.0,144.2,144.2,1488.0,432.6,351.8
887,887,4,976.0,396.78,396.78,3904.0,1587.1,579.22
888,888,30,1475.3,291.48,291.48,,,1183.82
889,889,4,976.0,0.0,374.14,3904.0,1496.57,601.86
890,890,20,1475.3,290.21,290.21,,,1185.09
891,891,4,,,,,,
892,892,2,155.0,62.82,62.82,310.0,125.64,92.18
893,893,4,1007.0,0.0,227.21,4028.0,908.84,779.79
894,894,1,853.0,0.0,156.55,853.0,156.55,696.45
895,895,4,2359.7,338.22,338.22,9438.8,1352.89,2021.48
896,896,1,1139.86,0.0,301.83,1139.86,301.83,838.03
897,897,4,720.0,82.15,82.15,2880.0,328.6,637.85
898,898,3,2464.2,,,7392.6,,1328.67
899,899,2,2068.5,,,4137.0,2523.98,806.51
900,900,4,413.4,91.5,91.5,1653.6,366.02,321.9
901,901,1,785.0,0.0,181.44,785.0,181.44,603.56
902,902,1,,0.0,,5909.84,1884.35,
903,903,2,2235.9,0.0,628.8,4471.8,1257.6,1607.1
904,904,12,1030.0,0.0,282.47,,,747.53
905,905,2,435.0,0.0,82.37,870.0,164.74,352.63
906,906,1,,0.0,,5251.28,2121.33,
907,907,30,1299.32,430.03,430.03,,,869.29
908,908,1,1320.0,73.01,73.01,1320.0,73.01,1246.99
909,909,1,483.54,72.97,72.97,483.54,72.97,410.58
910,910,1,155.0,72.37,72.37,155.0,72.37,82.63
911,911,5,490.0,0.0,150.77,2450.0,753.85,339.23
912,912,4,307.0,32.38,32.38,1228.0,129.51,274.62
913,913,1,661.2,31.14,31.14,661.2,31.14,630.06
914,914,2,1696.25,,572.12,3392.5,1144.25,1124.13
915,915,1,2290.12,,,2290.12,917.05,1373.07
916,916,1,2278.45,469.69,469.69,2278.45,469.69,1808.76
917,917,15,735.0,86.15,86.15,,1292.21,648.85
918,918,4,1587.0,210.34,210.34,6348.0,841.34,1376.66
919,919,3,1598.75,438.86,438.86,4796.25,1316.59,1159.89
920,920,3,2218.0,0.0,,6654.0,,1068.27
921,921,1,785.0,0.0,110.45,785.0,110.45,674.55
922,922,21,916.36,264.47,264.47,,,651.89
923,923,2,345.0,345.81,345.81,690.0,691.62,-0.81
924,924,2,787.5,0.0,90.71,1575.0,181.42,696.79
925,925,1,154.31,62.95,62.95,154.31,62.95,91.36
926,926,1,120.0,48.2,48.2,120.0,48.2,71.8
927,927,2,1654.34,0.0,183.81,3308.68,367.61,1470.53
928,928,3,2481.59,0.0,0.0,7444.77,0.0,
929,929,4,1130.5,457.78,457.78,4522.0,1831.12,672.72
930,930,1,1284.0,249.45,249.45,1284.0,249.45,1034.55
931,931,1,,,,,2754.67,
932,932,1,668.0,210.24,210.24,668.0,210.24,457.76
933,933,1,758.5,0.0,120.77,758.5,120.77,637.73
934,934,3,525.0,10.82,10.82,1575.0,32.46,514.18
935,935,6,625.2,43.81,43.81,3751.2,262.85,581.39
936,936,3,625.2,48.94,48.94,1875.6,146.81,576.26
