,id,bathrooms,bedrooms,beds,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,reviews_per_month
65,822005,1.0,1.0,1.0,4.0,360.0,4.36,4.57,4.41,4.89,,0.4
66,824016,1.0,1.0,1.0,,360.0,4.56,4.6,4.51,4.8,4.95,0.32
67,826691,1.0,1.0,1.0,,365.0,4.83,4.72,4.72,5.0,4.94,0.13
68,826760,1.0,2.0,,4.0,370.0,4.69,4.56,4.56,5.0,4.94,0.11
69,828714,1.0,2.0,2.0,2.0,1125.0,4.71,4.89,4.71,4.96,4.93,0.28
70,832805,1.0,1.0,2.0,1.0,1125.0,4.78,4.74,4.72,4.88,,1.05
71,454693,1.5,1.0,1.0,1.0,1125.0,4.9,4.93,4.94,4.93,4.97,1.84
72,456242,1.5,1.0,1.0,3.0,90.0,5.0,5.0,5.0,5.0,5.0,0.02
73,458808,1.0,1.0,2.0,1.0,1125.0,4.49,4.65,4.69,4.85,4.88,1.25
74,486913,1.0,1.0,2.0,1.0,1125.0,4.94,5.0,4.88,4.94,4.91,0.23
75,858277,2.0,3.0,,2.0,1125.0,4.83,4.92,4.84,4.91,4.97,0.93
76,865012,2.0,1.0,,2.0,1125.0,4.97,4.97,4.94,5.0,4.97,0.22
77,868843,1.0,1.0,1.0,2.0,1125.0,4.98,4.98,4.88,5.0,4.98,0.44
78,868986,1.0,1.0,1.0,2.0,1125.0,4.92,4.96,4.92,4.92,4.96,0.17
79,869063,1.0,1.0,1.0,2.0,1125.0,4.92,5.0,4.97,5.0,4.97,0.35
80,883511,,,,1.0,90.0,4.78,4.78,4.8,4.88,,1.91
81,898633,1.0,1.0,2.0,3.0,48.0,4.95,4.93,4.95,4.93,4.93,0.39
82,913084,1.0,2.0,3.0,2.0,1125.0,4.75,4.83,4.72,4.84,,1.18
83,491412,1.0,1.0,1.0,,1125.0,4.75,4.83,4.72,4.84,,1.18
84,1945351,1.0,1.0,1.0,3.0,1125.0,5.0,5.0,5.0,5.0,5.0,0.05
85,1988412,1.0,2.0,1.0,,365.0,4.82,4.87,4.74,4.96,4.7,0.17
86,1999474,2.0,2.0,2.0,4.0,45.0,4.78,4.81,4.84,4.98,4.96,0.43
87,2003918,2.5,2.0,2.0,1.0,1125.0,5.0,5.0,5.0,5.0,4.75,0.43
88,939721,1.0,1.0,1.0,3.0,1125.0,4.84,4.93,4.92,4.91,4.93,3.78
89,1001517,2.5,2.0,2.0,2.0,365.0,4.85,4.95,4.95,4.98,4.98,0.59
90,1011428,,3.0,3.0,,90.0,5.0,5.0,5.0,5.0,4.96,0.17
91,1013504,1.5,1.0,1.0,2.6,250.0,4.96,4.9,4.92,4.92,4.92,0.54
92,1051636,1.0,1.0,1.0,2.0,1125.0,4.83,4.6,4.97,4.97,4.93,0.21
93,1066945,1.0,1.0,1.0,2.0,365.0,4.93,4.94,4.97,4.96,4.97,1.13
94,1087636,1.0,1.0,3.0,1.0,14.0,4.9,4.86,4.78,4.98,4.92,0.42
95,1164876,3.5,3.0,3.0,,21.0,5.0,5.0,5.0,5.0,5.0,0.04
96,1167552,1.5,1.0,2.0,3.0,1125.0,4.88,4.88,4.62,4.95,4.95,1.1
97,2030859,2.0,2.0,,2.0,365.0,4.86,4.88,4.94,4.94,4.76,0.38
98,2033931,1.0,1.0,1.0,3.0,1125.0,4.92,4.94,4.98,5.0,4.92,0.49
99,2056514,1.0,2.0,1.0,,1125.0,4.93,4.98,4.89,4.98,5.0,0.4
100,2056622,1.0,1.0,1.0,2.0,1125.0,4.93,4.93,5.0,4.93,5.0,0.15
101,2056638,1.0,1.0,1.0,,1125.0,4.95,4.71,4.95,5.0,5.0,0.16
102,2072354,1.0,1.0,1.0,3.0,120.0,4.84,4.9,4.89,4.94,4.94,0.47
103,2075738,2.0,1.0,1.0,3.0,30.0,4.88,4.9,4.74,4.92,5.0,0.81
104,2083241,1.0,1.0,2.0,3.0,1125.0,4.93,4.91,4.95,4.99,4.94,2.54
105,1170780,1.0,1.0,1.0,3.0,1125.0,4.94,5.0,5.0,4.94,4.56,0.13
106,1187817,1.0,1.0,1.0,,360.0,4.63,4.78,4.39,4.67,4.89,0.34
107,1211383,1.0,1.0,1.0,5.0,21.0,4.78,4.84,4.89,4.95,4.95,0.15
108,1283294,1.0,1.0,2.0,3.0,1125.0,4.82,4.85,4.89,4.89,4.89,1.3
109,1286695,1.0,1.0,1.0,,730.0,4.53,4.56,4.65,4.82,4.71,0.34
110,1288566,1.5,1.0,1.0,1.9,1125.0,4.9,4.93,4.91,4.98,4.96,1.75
111,1309198,1.5,1.0,1.0,2.0,1125.0,5.0,5.0,5.0,5.0,5.0,0.03
112,1363110,1.0,1.0,1.0,3.0,1125.0,4.88,4.88,5.0,4.88,4.54,0.19
113,1378164,1.0,1.0,1.0,,150.0,4.58,4.69,,4.83,4.67,0.47
114,2084093,1.0,1.0,2.0,1.0,1125.0,4.53,4.73,4.68,4.81,4.63,4.99
115,2094427,1.0,1.0,1.0,3.0,1125.0,4.76,4.83,4.85,4.92,4.89,0.69
116,2112138,1.0,1.0,2.0,3.0,90.0,4.58,4.72,4.67,4.81,4.86,0.28
117,2117709,1.0,1.0,1.0,3.0,1125.0,4.89,4.89,4.78,5.0,5.0,0.07
118,2118573,3.0,3.0,,2.0,1125.0,4.91,4.93,4.89,4.92,4.87,1.81
119,1403168,2.0,1.0,1.0,2.0,1125.0,5.0,5.0,5.0,5.0,5.0,0.03
120,1403218,,,,1.0,1125.0,4.83,4.78,4.75,4.94,,1.19
121,1404363,1.0,0.0,2.0,4.0,1125.0,4.79,4.9,4.88,4.94,4.85,0.98
122,1411454,1.0,1.0,1.0,3.0,1125.0,4.93,4.89,4.95,4.98,4.95,2.57
123,1441434,1.5,1.0,1.0,2.0,1125.0,4.9,4.94,4.96,4.85,4.96,1.67
124,1462549,2.0,1.0,2.0,4.0,1125.0,4.9,4.91,4.84,4.99,4.9,0.86
125,1476127,2.0,1.0,2.0,1.0,1125.0,4.97,4.95,4.96,4.98,4.95,2.09
126,1483664,2.0,1.0,2.0,,1125.0,5.0,5.0,5.0,5.0,4.67,0.04
